CdsCod,AdCod,n°iscritti,n°passati,Tasso_superamento,voto_medio
E3201Q,E3201Q091,60,29,0.48,24.59
E1803M,E1803M051,275,132,0.48,24.74
E4102B,E4102B081,64,31,0.48,25.55
E2702Q,E2702Q092,84,40,0.48,26.13
E1901R,E1901R037,64,31,0.48,26.61
I0102D,I0102D013,33,16,0.48,26.69
E3001Q,E3001Q042,191,92,0.48,27.84
E0201Q,E0201Q059,148,73,0.49,23.41
E4101B,E4101B020,99,49,0.49,23.73
H4601D,H4601D001,47,23,0.49,24.7
F7702M,F7702M044,194,96,0.49,25.34
E3501Q,E3501Q051,103,50,0.49,25.44
E4101B,E4101B014,109,53,0.49,25.98
E1301Q,E1301Q068,57,28,0.49,26.29
581,A5810011,197,97,0.49,27.23
F5401Q,F5401Q027,45,22,0.49,27.91
E3101Q,E3101Q131,59,29,0.49,28.14
E3101Q,E3101Q100,304,151,0.5,20.65
E3301M,E3301M159,107,53,0.5,22.34
E1601N,E1601N049,190,95,0.5,23.92
I0101D,I0101D009,417,209,0.5,23.92
E4001N,E4001N050,138,69,0.5,24.51
I0102D,I0102D004,46,23,0.5,24.91
E1803M,E1803M060,92,46,0.5,25.04
581,A5810019,517,258,0.5,25.19
E2401P,E2401P109,56,28,0.5,26.14
F0802Q,F0802Q059,36,18,0.5,27.33
F5301Q,F5301Q024,36,18,0.5,28.11
E4101B,E4101B004,75,38,0.51,
I0101D,LING,376,193,0.51,
E1601N,E1601N002,259,133,0.51,24.05
E4101B,E4101B005,210,107,0.51,24.23
E1802M,E3301M148,94,48,0.51,24.73
E1401A,E1401A040,39,20,0.51,24.85
I0201D,I0201D100,109,56,0.51,24.88
581,A5810130,247,125,0.51,25.1
E2004P,E2004P004,191,98,0.51,25.71
E3201Q,E3201Q069,112,57,0.51,25.75
E2004P,E2004P044,172,87,0.51,26.16
581,A5810017,352,178,0.51,26.6
E2701Q,E2701Q013,39,20,0.51,26.95
F4901N,F4901N009,86,44,0.51,27.2
F7702M,F7702M002,180,94,0.52,
E2001R,E2001R004,263,136,0.52,23.57
I0201D,I0201D121,101,53,0.52,24.58
E3301M,E3301M182,121,63,0.52,25.19
E3401Q,E3401Q052,33,17,0.52,26
E3001Q,E3001Q057,105,55,0.52,26.27
581,A5810012,248,130,0.52,26.9
581,A5810135,61,32,0.52,27.84
