CdsCod,AdCod,n°iscritti,n°passati,Tasso_superamento,voto_medio
E3501Q,E3501Q001,48,36,0.75,26.36
E0201Q,E0201Q046,164,123,0.75,26.49
I0102D,I0102D010,36,27,0.75,26.78
E2001R,E2001R029,196,147,0.75,26.99
F5104P,F5104P004,242,181,0.75,27.23
E1802M,E1802M030,213,159,0.75,27.26
F8701N,F8701N006,44,33,0.75,27.45
F8501R,F8501R011,129,97,0.75,27.85
F7701M,F7701M054,122,92,0.75,28.16
H4101D,H4101D029,130,98,0.75,28.35
581,A5810060,52,39,0.75,28.36
G8501R,G8501R021,348,262,0.75,28.5
K0101D,K0101D001,36,27,0.75,28.89
F7701M,F7701M101,141,106,0.75,28.98
E1802M,E1802M026,214,163,0.76,
E3201Q,E3201Q016,87,66,0.76,
K0101D,K0101D015,34,26,0.76,
E3401Q,E3401Q006,80,61,0.76,24.23
F6302N,F6302N022,76,58,0.76,24.36
F1601M,F1601M053,41,31,0.76,24.52
E4101B,E4101B019,33,25,0.76,24.88
E2001R,E2001R053,59,45,0.76,25.16
I0201D,I0201D110,71,54,0.76,25.22
E3301M,E3301M196,214,163,0.76,25.45
E1501N,E1501N079,187,142,0.76,25.89
F5701R,F5701R006,156,119,0.76,26.06
F8204B,F8204B001,51,39,0.76,26.33
E4102B,E4102B066,95,72,0.76,26.69
H4101D,H4101D256,161,122,0.76,26.83
E1901R,E1901R087,145,110,0.76,27.4
F5104P,F5104P011,41,31,0.76,27.45
F8501R,F8501R005,218,166,0.76,27.7
F5701R,F5701R023,131,100,0.76,27.98
F5102P,F5102P001,135,102,0.76,28.08
581,A5810032,193,147,0.76,28.15
F5104P,F5104P012,38,29,0.76,28.17
H4101D,H4101D019,169,129,0.76,28.32
F0601Q,F0601Q056,46,35,0.76,28.74
E2401P,E2401P026,205,155,0.76,28.82
H4101D,H4101D034,152,116,0.76,28.84
F5401Q,F5401Q034,75,57,0.76,28.86
E1901R,E1901R110,100,76,0.76,29.07
E1803M,E1803M033,153,118,0.77,23.33
E1801M,E1801M041,262,202,0.77,24.09
F5103P,F5103P066,84,65,0.77,24.91
E2001R,E2001R001,176,136,0.77,25.75
E1802M,E1802M118,162,125,0.77,26.11
E3201Q,E3201Q079,52,40,0.77,26.18
E1401A,E1401A025,31,24,0.77,26.83
F5104P,F5104P013,48,37,0.77,27.19
E1901R,E1901R034,164,126,0.77,27.78
F5101P,F5101P121,78,60,0.77,27.85
F1801Q,F1801Q129,60,46,0.77,27.93
581,A5810125,276,212,0.77,27.96
E0201Q,E0201Q052,116,89,0.77,28.16
F5102P,F5102P019,75,58,0.77,29.21
F8501R,F8501R002,64,49,0.77,29.35
F7601M,F7601M005,64,49,0.77,29.45
E1601N,E1601N010,112,87,0.78,23.8
E4101B,E4101B007,99,77,0.78,24.49
E1901R,E1901R013,536,417,0.78,24.69
E3002Q,E3002Q010,40,31,0.78,25.35
E2001R,E2001R014,196,152,0.78,25.54
I0202D,I0202D103,36,28,0.78,25.82
E4102B,E4102B063,55,43,0.78,25.84
E3301M,E3301M142,67,52,0.78,25.88
E1901R,E1901R111,98,76,0.78,26.05
E3901N,E3901N004,107,83,0.78,26.3
E2702Q,E2702Q075,76,59,0.78,26.46
E2401P,E2401P029,140,109,0.78,26.92
E2001R,E2001R005,184,143,0.78,27.17
E1901R,E1901R104,426,334,0.78,27.2
E1801M,E2001R005,64,50,0.78,27.58
F4901N,F4901N070,59,46,0.78,27.61
E4102B,E4102B079,32,25,0.78,27.64
F5602M,F5602M007,36,28,0.78,27.89
E2001R,E2001R024,183,143,0.78,27.9
F7501Q,F7501Q087,41,32,0.78,28.19
F5102P,F5102P020,32,25,0.78,28.32
F5103P,F5103P062,63,49,0.78,28.35
581,A5810131,32,25,0.78,28.48
F0901D,F0901D045,32,25,0.78,28.6
F5701R,F5701R011,141,110,0.78,28.7
F1601M,F1601M070,82,65,0.79,
E1803M,E1803M004,292,232,0.79,24.81
E3201Q,E3201Q066,68,54,0.79,25.15
E0201Q,E0201Q004,205,162,0.79,25.43
F6302N,F6302N014,38,30,0.79,26.07
E3201Q,E3201Q072,53,42,0.79,26.55
F6302N,F6302N006,84,66,0.79,26.85
G8501R,G8501R014,398,315,0.79,27.27
581,A5810029,174,138,0.79,27.49
G8501R,G8501R010,316,251,0.79,27.57
F7702M,F7702M055,159,126,0.79,27.66
F7501Q,F7501Q077,34,27,0.79,29.11
E2401P,E2401P076,52,41,0.79,29.24
F8701N,F8701N035,38,30,0.79,29.8
F7701M,F7701M070,174,140,0.8,
E4001N,E4001N014,331,266,0.8,22.38
I0101D,I0101D005,282,227,0.8,23.75
E3901N,E3901N006,104,83,0.8,24.27
E3501Q,E3501Q057,35,28,0.8,24.32
E3101Q,E3101Q108,234,187,0.8,25.69
E3301M,E3301M194,49,39,0.8,25.82
F8204B,F8204B020,35,28,0.8,25.89
E2001R,E2001R010,196,157,0.8,26.15
E3301M,E3301M152,56,45,0.8,26.22
E3001Q,E3001Q044,147,117,0.8,27.32
F8501R,F8501R021,87,70,0.8,27.46
F5103P,F5103P012,45,36,0.8,27.81
E2401P,E2401P022,151,121,0.8,27.83
E2004P,E2004P029,46,37,0.8,27.89
E0201Q,E0201Q012,127,101,0.8,28.03
E2001R,E2001R031,74,59,0.8,28.46
F7702M,F7702M046,139,111,0.8,28.52
H4101D,H4101D035,147,117,0.8,28.55
H4101D,H4101D027,90,72,0.8,28.61
581,A5810050,35,28,0.8,28.82
G8501R,G8501R013,336,268,0.8,28.85
H4101D,H4101D025,131,105,0.8,28.85
F5104P,F5104P006,113,90,0.8,29.11
F0802Q,F0802Q038,71,57,0.8,29.12
I0201D,I0201D115,63,51,0.81,23.47
E1301Q,E1301Q071,167,135,0.81,23.93
I0201D,I0201D122,67,54,0.81,25.09
E2401P,E2401P100,438,355,0.81,25.42
F5701R,F5701R005,126,102,0.81,25.56
F7701M,F7701M093,48,39,0.81,25.56
E3101Q,E3101Q112,251,204,0.81,25.9
E3301M,E3301M135,197,160,0.81,25.97
E2001R,E2001R009,227,185,0.81,26.02
E3901N,E3901N012,54,44,0.81,26.16
E0201Q,E0201Q049,118,95,0.81,26.28
E3101Q,E3101Q107,300,242,0.81,26.57
E1301Q,E1301Q066,54,44,0.81,26.75
E1801M,E1801M047,368,298,0.81,26.96
F7702M,F7702M058,139,112,0.81,26.97
E1901R,E1901R016,368,298,0.81,27.01
E1401A,E1401A086,129,104,0.81,27.02
E1803M,E1803M052,165,134,0.81,27.35
F5103P,F5103P010,69,56,0.81,27.5
581,A5810030,141,114,0.81,27.81
E4001N,E4001N056,105,85,0.81,27.95
F7501Q,F7501Q020,64,52,0.81,28.06
E1901R,E1901R002,635,515,0.81,28.12
G8501R,G8501R003,326,264,0.81,28.33
H4601D,H4601D014,31,25,0.81,28.36
K0101D,K0101D006,32,26,0.81,28.42
G8501R,G8501R019,319,258,0.81,28.79
F7502Q,F7502Q006,31,25,0.81,29
H4101D,H4101D037,126,102,0.81,29.13
581,A5810138,114,92,0.81,29.28
F0101R,F0101R004,32,26,0.81,29.35
E3401Q,E3401Q050,71,58,0.82,
H4101D,H4101D003,143,117,0.82,
H4101D,H4101D294,33,27,0.82,
E3002Q,E3002Q001,45,37,0.82,21.11
E1601N,E1601N004,166,136,0.82,22.35
I0201D,I0201D117,62,51,0.82,23.8
F5103P,F5103P002,105,86,0.82,24.53
E1803M,E1803M054,132,108,0.82,24.67
E3901N,E3901N013,101,83,0.82,25.4
E3001Q,E3001Q010,118,97,0.82,25.74
E1802M,E1802M120,225,184,0.82,26.09
E3501Q,E3501Q024,72,59,0.82,26.22
E2401P,E2401P015,205,168,0.82,26.85
E2401P,E2401P120,88,72,0.82,27.01
E4101B,E4101B018,117,96,0.82,27.06
E2401P,E2401P117,105,86,0.82,27.21
E2701Q,E2701Q038,38,31,0.82,27.87
H4101D,H4101D031,130,106,0.82,28.15
F8501R,F8501R055,110,90,0.82,28.54
F7401Q,F7401Q056,39,32,0.82,28.63
581,A5810063,61,50,0.82,28.78
I0201D,I0201D109,65,54,0.83,24
E3301M,E3301M004,282,233,0.83,24.15
E3101Q,E3101Q126,36,30,0.83,25
G8501R,G8501R018,319,266,0.83,25.14
E4001N,E4001N054,163,136,0.83,25.24
G8501R,G8501R016,343,286,0.83,26.03
E3901N,E3901N002,99,82,0.83,26.05
E3001Q,E3001Q052,41,34,0.83,26.12
F8204B,F8204B018,35,29,0.83,26.14
F5701R,F5701R030,126,105,0.83,26.39
E1801M,E1901R101,59,49,0.83,26.73
G8501R,G8501R011,326,271,0.83,26.86
I0102D,I0102D901,40,33,0.83,27.79
E0201Q,E0201Q072,163,136,0.83,28.03
F5701R,F5701R010,132,110,0.83,28.49
E3301M,E3301M145,108,90,0.83,28.76
F8501R,F8501R035,46,38,0.83,28.82
F0101R,F0101R010,35,29,0.83,28.83
581,A5810037,123,102,0.83,29.21
F8701N,F8701N039,54,45,0.83,29.91
E1803M,E1803M070,94,79,0.84,25.53
E2001R,E2001R028,44,37,0.84,25.81
I0201D,I0201D102,70,59,0.84,25.81
E3901N,E3901N008,95,80,0.84,26.18
F7702M,F7702M056,146,123,0.84,27.67
F7501Q,F7501Q036,44,37,0.84,27.68
E2401P,E2401P032,133,112,0.84,28.03
F5701R,F5701R019,89,75,0.84,28.32
F7701M,F7701M097,61,51,0.84,28.37
F8501R,F8501R016,37,31,0.84,28.42
F5701R,F5701R020,69,58,0.84,29.33
H4101D,H4101D030,120,101,0.84,29.38
F0101R,F0101R003,32,27,0.84,29.44
F8701N,F8701N036,48,41,0.85,
H4101D,H4101D011,158,135,0.85,
E3101Q,E3101Q128,196,167,0.85,23.62
E1501N,E1501N081,121,103,0.85,24.27
I0201D,I0201D103,67,57,0.85,24.89
E1803M,E1803M075,218,186,0.85,24.94
E1901R,E1901R007,475,403,0.85,25.48
E1501N,E1501N077,147,125,0.85,25.52
E4101B,E4101B022,79,67,0.85,25.58
F1601M,F1601M050,73,62,0.85,25.92
E3201Q,E3201Q082,34,29,0.85,26.24
E0201Q,E0201Q069,75,64,0.85,26.92
F1601M,F1601M054,82,70,0.85,26.97
E2004P,E2004P009,110,94,0.85,27.14
F8501R,F8501R057,54,46,0.85,27.65
F7701M,F7701M092,105,89,0.85,27.82
E1901R,E1901R086,101,86,0.85,27.88
E3901N,E3901N023,89,76,0.85,28.05
F7701M,F7701M098,143,122,0.85,28.21
E1501N,E1501N011,110,94,0.85,28.39
F9201P,F9201P201,40,34,0.85,28.68
G8501R,G8501R028,252,215,0.85,28.96
E2401P,E2401P103,408,352,0.86,25.13
E1601N,E1601N050,118,102,0.86,25.71
E2004P,E2004P005,123,106,0.86,25.78
F0901D,F0901D042,42,36,0.86,26.78
E1901R,E1901R078,616,530,0.86,26.82
E3101Q,E3101Q109,270,231,0.86,27.38
E1501N,E1501N082,189,162,0.86,27.66
F7701M,F7701M076,162,139,0.86,27.83
E1901R,E1901R081,297,254,0.86,28
E4101B,E4102B066,56,48,0.86,28.02
I0102D,I0102D905,35,30,0.86,28.3
I0102D,I0102D017,35,30,0.86,28.53
F0601Q,F0601Q049,44,38,0.86,28.79
581,A5810052,36,31,0.86,28.87
F5101P,F5101P126,244,210,0.86,29.18
F1801Q,F1801Q128,59,51,0.86,29.69
G8501R,G8501R008,302,262,0.87,
I0101D,I0101D003,329,285,0.87,22.97
E3501Q,E3501Q066,91,79,0.87,25.38
I0201D,I0201D111,62,54,0.87,25.48
E2001R,E2001R060,52,45,0.87,25.56
E1401A,E1401A033,45,39,0.87,25.82
E2401P,E2401P005,447,387,0.87,26.07
E1802M,E1802M121,226,196,0.87,26.56
E1802M,E1802M133,226,197,0.87,26.63
E3101Q,E3101Q123,189,164,0.87,26.73
F1601M,F1601M051,98,85,0.87,26.91
E1801M,E1801M035,316,275,0.87,27.09
F8501R,F8501R058,114,99,0.87,27.33
F6302N,F6302N015,46,40,0.87,28
G8501R,G8501R030,315,274,0.87,28.15
E2401P,E2401P030,93,81,0.87,28.38
F5104P,F5104P008,76,66,0.87,28.61
E1802M,E3301M146,31,27,0.87,28.67
F8204B,F8204B017,60,52,0.87,28.79
581,A5810076,38,33,0.87,28.88
I0102D,I0102D003,34,30,0.88,24.7
G8501R,G8501R009,302,265,0.88,25.72
E2401P,E2401P006,194,171,0.88,25.96
E3301M,E3301M160,32,28,0.88,26.11
E2702Q,E2702Q073,49,43,0.88,26.16
E1801M,E1801M045,198,174,0.88,26.17
F7601M,F7601M012,57,50,0.88,26.54
E2004P,E2004P037,68,60,0.88,26.62
E3401Q,E3401Q045,66,58,0.88,26.79
E1801M,E3301M140,40,35,0.88,26.91
E1901R,E1901R082,382,335,0.88,27.05
F8501R,F8501R015,60,53,0.88,27.11
G8501R,G8501R027,280,245,0.88,27.13
E2401P,E2401P019,166,146,0.88,27.26
E3101Q,E3101Q120,51,45,0.88,27.62
F0901D,F0901D041,32,28,0.88,27.71
E2001R,E2001R038,68,60,0.88,28.07
581,A5810109,43,38,0.88,28.08
F7601M,F7601M061,40,35,0.88,28.11
F7701M,F7701M044,42,37,0.88,28.68
E1802M,E1802M122,210,184,0.88,28.96
F5701R,F5701R004,115,101,0.88,29.17
H4101D,H4101D273,38,34,0.89,
I0201D,LING,36,32,0.89,
E4101B,E4101B016,83,74,0.89,25.53
E3301M,E3301M155,35,31,0.89,25.97
G8501R,G8501R029,281,251,0.89,26.38
E2702Q,E2702Q087,64,57,0.89,27
I0201D,I0201D116,56,50,0.89,27.2
E2401P,E2401P119,134,119,0.89,27.29
E2004P,E2004P003,120,107,0.89,27.65
E2401P,E2401P011,360,321,0.89,27.78
F5103P,F5103P076,76,68,0.89,27.9
F5101P,F5101P138,35,31,0.89,28.19
F7701M,F7701M095,37,33,0.89,28.67
F0101R,F0101R009,38,34,0.89,29.53
E3901N,E3901N022,73,66,0.9,
H4101D,H4101D069,31,28,0.9,
I0201D,I0201D108,60,54,0.9,21.54
E3501Q,E3501Q014,31,28,0.9,25.61
E1801M,E1801M044,217,196,0.9,26.3
E1501N,E1501N083,173,156,0.9,26.59
E2702Q,E2702Q058,58,52,0.9,26.62
E1803M,E3301M154,68,61,0.9,26.64
E1601N,E1601N017,139,125,0.9,26.76
E3201Q,E3201Q075,52,47,0.9,27.09
F7701M,F7701M102,156,140,0.9,27.13
E0201Q,E0201Q068,125,112,0.9,28.01
E2004P,E2004P040,39,35,0.9,28.17
F7702M,F7702M017,133,121,0.91,
E1601N,E1601N021,99,90,0.91,22.03
E3301M,E3301M191,227,206,0.91,25.23
E3301M,E3301M149,55,50,0.91,25.88
E1801M,E1801M043,281,256,0.91,25.89
E1801M,E1801M042,316,287,0.91,26.94
F1601M,F1601M052,103,94,0.91,26.98
I0102D,I0102D904,33,30,0.91,27.2
F5701R,F5701R001,35,32,0.91,29.56
G8501R,G8501R015,346,320,0.92,
H4101D,H4101D005,76,70,0.92,
E1901R,E1901R077,449,412,0.92,26.63
F0601Q,F0601Q054,37,34,0.92,27.44
F8501R,F8501R003,74,68,0.92,27.44
F6302N,F6302N002,96,88,0.92,27.94
F0802Q,F0802Q040,64,59,0.92,28.31
E3901N,E3901N037,72,66,0.92,28.35
F0901D,F0901D027,37,34,0.92,28.56
F7701M,F7701M096,78,72,0.92,28.61
F5104P,F5104P009,89,82,0.92,28.68
E1401A,E1401A088,73,67,0.92,29.55
F8203B,F8203B031,36,33,0.92,29.64
E1401A,E1401A070,86,80,0.93,
E1901R,E1901R095,500,464,0.93,
G8501R,G8501R022,341,317,0.93,
I0201D,I0201D119,56,52,0.93,26.1
E2401P,E2401P068,107,99,0.93,26.77
F7501Q,F7501Q037,61,57,0.93,26.84
E1901R,E1901R088,217,202,0.93,26.94
E3901N,E3901N034,69,64,0.93,27.14
F7702M,F7702M006,119,111,0.93,28.08
F7701M,F7701M094,54,50,0.93,28.88
F8701N,F8701N002,57,53,0.93,29.7
E1901R,E1901R096,501,472,0.94,
F5101P,F5101P129,35,33,0.94,
F5701R,F5701R024,121,114,0.94,
H4601D,H4601D068,31,29,0.94,
I0101D,I0101D101,70,66,0.94,
I0101D,I0101D117,80,75,0.94,
I0101D,I0101D118,115,108,0.94,
E3002Q,E3002Q037,48,45,0.94,25.93
E1301Q,E1301Q058,79,74,0.94,26.03
E0201Q,E0201Q047,176,166,0.94,26.55
E3002Q,E3002Q012,48,45,0.94,26.82
F1601M,F1601M066,66,62,0.94,28.16
F5103P,F5103P073,79,74,0.94,28.84
F1801Q,F1801Q115,36,34,0.94,29.32
F9201P,F9201P032,32,30,0.94,29.8
F8501R,F8501R033,170,162,0.95,
G8501R,G8501R025,313,296,0.95,
G8501R,G8501R034,307,291,0.95,
H4101D,H4101D243,39,37,0.95,
H4101D,H4101D280,44,42,0.95,
I0101D,I0101D103,136,129,0.95,
I0101D,I0101D111,81,77,0.95,
I0101D,I0101D119,60,57,0.95,
I0101D,I0101D120,40,38,0.95,
E3901N,E3901N018,78,74,0.95,25.54
E1501N,E1501N072,186,176,0.95,26.12
E1802M,E1801M043,37,35,0.95,26.2
E1901R,E1901R091,287,274,0.95,27.75
F1801Q,F1801Q127,79,75,0.95,27.96
F7702M,F7702M059,122,116,0.95,28.35
I0201D,I0201D107,61,58,0.95,28.78
H4101D,H4101D028,117,111,0.95,29.29
F6302N,F6302N023,41,39,0.95,29.38
E2401P,E2401P040,251,242,0.96,
E3901N,E3901N020,98,94,0.96,
H4101D,H4101D015,148,142,0.96,
H4101D,H4101D067,50,48,0.96,
H4101D,H4101D205,140,135,0.96,
I0101D,I0101D109,80,77,0.96,
I0101D,I0101D116,109,105,0.96,
E4001N,E4001N045,110,106,0.96,24.93
E3201Q,E3201Q088,52,50,0.96,25.42
E3901N,E3901N007,72,69,0.96,25.81
E3201Q,E3201Q090,74,71,0.96,26.38
E1301Q,E1301Q070,108,104,0.96,26.41
E2401P,E2401P064,71,68,0.96,27.93
F8701N,F8701N045,47,45,0.96,28.38
F1801Q,F1801Q130,96,92,0.96,28.45
F1801Q,F1801Q137,51,49,0.96,29.59
F5102P,F5102P011,97,94,0.97,
H4101D,H4101D057,34,33,0.97,
H4101D,H4101D087,31,30,0.97,
H4101D,H4101D203,147,142,0.97,
I0101D,I0101D024,217,210,0.97,
I0101D,I0101D110,101,98,0.97,
I0101D,I0101D112,79,77,0.97,
I0101D,I0101D125,38,37,0.97,
E3101Q,E3101Q106,237,229,0.97,25.15
F1601M,F1601M057,37,36,0.97,25.92
E3301M,E3301M141,66,64,0.97,26.09
E4101B,E4101B021,39,38,0.97,26.55
I0101D,I0101D902,244,236,0.97,26.59
E1802M,E1801M042,38,37,0.97,26.86
I0201D,I0201D105,61,59,0.97,27.46
F6302N,F6302N017,86,83,0.97,27.73
I0101D,I0101D904,208,201,0.97,28.27
E2004P,E2004P027,59,57,0.97,28.47
E2401P,E2401P031,203,197,0.97,28.57
F8701N,F8701N010,39,38,0.97,28.95
F5102P,F5102P095,37,36,0.97,30
E3401Q,E3401Q033,88,86,0.98,
G8501R,G8501R035,251,245,0.98,
H4101D,H4101D041,115,113,0.98,
I0101D,I0101D107,128,126,0.98,
I0201D,I0201D113,54,53,0.98,
E3101Q,E3101Q115,48,47,0.98,23.96
I0201D,I0201D118,53,52,0.98,25.46
F6302N,F6302N009,59,58,0.98,26.43
E2702Q,E2702Q094,63,62,0.98,26.45
F6302N,F6302N010,58,57,0.98,27.4
E2401P,E2401P116,50,49,0.98,28.08
F4901N,F4901N073,45,44,0.98,28.23
E1301Q,E1301Q035,114,112,0.98,28.36
F8701N,F8701N014,40,39,0.98,29.08
581,A5810112,129,128,0.99,
E1401A,E1401A071,76,75,0.99,
E1401A,E1401A072,184,183,0.99,
E2401P,E2401P039,271,267,0.99,
F5101P,F5101P109,77,76,0.99,
G8501R,G8501R031,272,268,0.99,
G8501R,G8501R033,316,314,0.99,
I0101D,I0101D115,112,111,0.99,
E1501N,E1501N002,114,113,0.99,23.35
E1301Q,E1301Q056,80,79,0.99,26.04
E1601N,E1601N044,110,109,0.99,26.44
E3901N,E3901N001,82,81,0.99,26.51
F6302N,F6302N016,74,73,0.99,26.67
F5103P,F5103P006,67,66,0.99,26.88
I0101D,I0101D903,215,212,0.99,26.95
F6302N,F6302N008,71,70,0.99,27.57
E0201Q,E0201Q048,160,158,0.99,27.65
E3901N,E3901N017,74,73,0.99,27.73
F5102P,F5102P007,99,98,0.99,28.96
581,A5810111,179,179,1,
581,A5810113,254,253,1,
E1901R,E1901R098,462,462,1,
E2004P,E2004P024,74,74,1,
E2401P,E2401P038,137,137,1,
E2401P,E2401P049,155,155,1,
E2401P,E2401P050,32,32,1,
E2401P,E2401P052,191,191,1,
E2401P,E2401P053,76,76,1,
E2401P,E2401P104,53,53,1,
E2401P,E2401P105,70,70,1,
E2401P,E2401P110,53,53,1,
E2401P,E2401P111,35,35,1,
E2401P,E2401P112,32,32,1,
E2401P,E2401P114,127,127,1,
F0901D,F0901D054,34,34,1,
F5101P,F5101P039,41,41,1,
F5101P,F5101P108,64,64,1,
F5101P,F5101P130,70,70,1,
F5101P,F5101P131,40,40,1,
F5101P,F5101P132,55,55,1,
F5101P,F5101P144,39,39,1,
F5103P,F5103P041,48,48,1,
F5103P,F5103P048,54,54,1,
F5103P,F5103P060,68,68,1,
G8501R,G8501R020,290,289,1,
G8501R,G8501R032,327,326,1,
H4101D,H4101D056,57,57,1,
H4101D,H4101D096,31,31,1,
H4101D,H4101D204,135,135,1,
H4101D,H4101D281,31,31,1,
H4101D,H4101D296,32,32,1,
I0101D,I0101D021,253,253,1,
I0101D,I0101D022,226,226,1,
I0101D,I0101D023,227,227,1,
I0101D,I0101D102,62,62,1,
I0101D,I0101D106,36,36,1,
I0101D,I0101D122,70,70,1,
I0101D,I0101D123,57,57,1,
I0101D,I0101D126,49,49,1,
I0102D,I0102D021,34,34,1,
I0102D,I0102D024,31,31,1,
I0102D,I0102D122,36,36,1,
I0201D,I0201D013,53,53,1,
I0201D,I0201D106,56,56,1,
I0301D,I0301D026,31,31,1,
E4001N,E4001N011,54,54,1,22.78
E4001N,E4001N058,91,91,1,23.53
E3901N,E3901N010,69,69,1,23.77
E1501N,E1501N078,149,149,1,24.03
E4001N,E4001N065,54,54,1,24.52
E4001N,E4001N048,78,78,1,24.67
E1601N,E1601N001,166,166,1,24.72
E1601N,E1601N040,184,184,1,24.84
E1501N,E1501N009,130,130,1,24.85
E4001N,E4001N066,106,106,1,25.06
E4001N,E4001N046,190,190,1,25.13
E3901N,E3901N032,58,58,1,25.16
E1601N,E1601N055,78,78,1,25.22
E1601N,E1601N054,62,62,1,25.37
F8701N,F8701N001,41,41,1,25.51
E4001N,E4001N067,151,151,1,25.69
E1601N,E1601N034,76,76,1,25.74
E2001R,E4001N067,44,44,1,25.84
F8801N,F8801N037,32,32,1,25.88
E3901N,E3901N005,87,87,1,25.99
E3101Q,E3101Q111,234,233,1,26.21
E2004P,E2004P036,101,101,1,26.26
E3101Q,E3101Q105,281,281,1,26.61
E1801M,E1601N033,36,36,1,26.86
F4901N,F4901N072,39,39,1,27.1
E1601N,E1601N033,103,103,1,27.26
E3901N,E3901N035,74,74,1,27.34
E3201Q,E3201Q083,45,45,1,27.36
F6302N,F6302N005,67,67,1,28.22
I0102D,I0102D111,32,32,1,28.31
I0201D,I0201D114,54,54,1,28.37
F8204B,F8204B026,33,33,1,28.42
I0201D,I0201D120,52,52,1,28.81
G8501R,G8501R038,190,190,1,29.08
E4101B,E4101B026,41,41,1,29.12
H4101D,H4101D026,117,117,1,29.39
