ad,media
[E1801M052] LINGUA - SPAGNOLO,19.666666666666668
[E3001Q040] ANALISI MATEMATICA II,19.6
[E1901R019] STORIA MEDIOEVALE,19.5
[E3101Q107] ALGORITMI E STRUTTURE DATI,19.333333333333332
[E1401A005] DIRITTO COSTITUZIONALE,19.333333333333332
[E4001N053] ORGANIZZAZIONE E LAVORO,19.2
[E3301M111] ISTITUZIONI DI DIRITTO PRIVATO,19
[E1802M129] LINGUA INGLESE,19
[E1601N049] ORDINAMENTO E DIRITTO REGIONALE,19
[G8501R040] PEDAGOGIA SPECIALE CON LABORATORI,18.75
[I0101D018] SCIENZE UMANE E STORIA DELLA MEDICINA,18.6
[E3101Q113] ANALISI E PROGETTO DI ALGORITMI,18.6
[A5810015] DIRITTO PENALE,18.555555555555557
[I0101D014] PSICHIATRIA E PSICOLOGIA CLINICA,18.5
[E2401P002] FONDAMENTI ANATOMO-FISIOLOGICI DELL'ATTIVITÀ PSICHICA,18.333333333333332
[F5104P005] PSICOLOGIA CLINICA,18.2
[F5104P002] NEUROPSICOLOGIA DELL'ADULTO E DELL'ANZIANO,18.2
[E3101Q127] PROBABILITA' E STATISTICA PER L'INFORMATICA,18.2
[E3001Q035] ALGEBRA LINEARE E GEOMETRIA,18.2
[E2001R004] ETNOLINGUISTICA,18.142857142857142
[G8501R036] CHIMICA E DIDATTICA DELLA BIOLOGIA,18.125
[E3101Q102] FONDAMENTI DELL'INFORMATICA,18
[E2001R037] LINGUISTICA GENERALE,18
[E1501N051] GEOGRAFIA DEL TURISMO,18
[E1501N001] DIRITTO DEL TURISMO,18
[E1801M004] ISTITUZIONI DI DIRITTO PUBBLICO,17.857142857142858
[E2001R002] LINGUISTICA ITALIANA,17.8
[E1801M028] ELEMENTI DI CONTABILITÀ E BILANCIO,17.7
[H4101D254] MEDICINA E SOCIETA',17.666666666666668
[H4101D040] FARMACOLOGIA,17.625
[E3401Q004] CHIMICA GENERALE E INORGANICA,17.571428571428573
