CdsCod,AdCod,TipoCorso,n°iscritti,n°passati,Tasso_superamento,voto_medio
H4601D,H4601D001,[LM6] Laurea Magistrale Ciclo Unico 6 anni,47,23,0.49,24.7
581,A5810019,[LM5] Laurea Magistrale Ciclo Unico 5 anni,517,258,0.5,25.19
E1601N,E1601N049,[L2] Corso di Laurea - L2,190,95,0.5,23.92
E1803M,E1803M060,[L2] Corso di Laurea - L2,92,46,0.5,25.04
E2401P,E2401P109,[L2] Corso di Laurea - L2,56,28,0.5,26.14
E3101Q,E3101Q100,[L2] Corso di Laurea - L2,304,151,0.5,20.65
E3301M,E3301M159,[L2] Corso di Laurea - L2,107,53,0.5,22.34
E4001N,E4001N050,[L2] Corso di Laurea - L2,138,69,0.5,24.51
F0802Q,F0802Q059,[LM] Corso di Laurea Magistrale,36,18,0.5,27.33
F5301Q,F5301Q024,[LM] Corso di Laurea Magistrale,36,18,0.5,28.11
I0101D,I0101D009,[L2] Corso di Laurea - L2,417,209,0.5,23.92
I0102D,I0102D004,[L2] Corso di Laurea - L2,46,23,0.5,24.91
581,A5810017,[LM5] Laurea Magistrale Ciclo Unico 5 anni,352,178,0.51,26.6
