cds,conteggio,dtappello,tipocorso
[F5301Q] SCIENZA DEI MATERIALI,4,2017-07-19,[LM] Corso di Laurea Magistrale
"[F5102P] PSICOLOGIA DEI PROCESSI SOCIALI, DECISIONALI E DEI COMPORTAMENTI ECONOMICI",4,2017-01-12,[LM] Corso di Laurea Magistrale
[F4001Q] MATEMATICA,4,2017-06-20,[LM] Corso di Laurea Magistrale
[F1601M] ECONOMIA E FINANZA,4,2017-02-28,[LM] Corso di Laurea Magistrale
[E3002Q] OTTICA E OPTOMETRIA,4,2017-06-19,[L2] Corso di Laurea - L2
[F8801N] SOCIOLOGIA,3,2017-09-21,[LM] Corso di Laurea Magistrale
[F8701N] PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI,3,2017-04-28,[LM] Corso di Laurea Magistrale
[F5801Q] ASTROFISICA E FISICA DELLO SPAZIO,3,2017-02-28,[LM] Corso di Laurea Magistrale
[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA,3,2017-09-19,[LM] Corso di Laurea Magistrale
[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI,3,2017-07-04,[LM] Corso di Laurea Magistrale
"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE",3,2017-04-26,[LM] Corso di Laurea Magistrale
[E3901N] SERVIZIO SOCIALE,3,2017-04-28,[L2] Corso di Laurea - L2
[I0202D] TERAPIA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TERAPISTA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA),2,2017-01-12,[L2] Corso di Laurea - L2
[F8202B] SCIENZE STATISTICHE ED ECONOMICHE,2,2017-06-28,[LM] Corso di Laurea Magistrale
[F7502Q] MARINE SCIENCES - SCIENZE MARINE,2,2017-02-07,[LM] Corso di Laurea Magistrale
[F0901D] BIOTECNOLOGIE MEDICHE,2,2017-01-26,[LM] Corso di Laurea Magistrale
[E2003P] COMUNICAZIONE E PSICOLOGIA,1,2017-01-24,[L2] Corso di Laurea - L2
[E1502N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE (NETTUNO),1,2017-09-05,[L2] Corso di Laurea - L2
[541] SCIENZE DEL TURISMO E COMUNITA' LOCALE(C.SO A DISTANZA),1,2017-01-25,[L2] Corso di Laurea - L2
[524] SCIENZE DELL'EDUCAZIONE,1,2017-09-12,[L2] Corso di Laurea - L2
