ad,media
[H4101D253] FISIOLOGIA UMANA,1.84
[E3101Q104] ARCHITETTURA DEGLI ELABORATORI,1.836734693877551
[E3301M155] CONTABILITA' DEGLI ENTI PUBBLICI,1.8333333333333333
[E3002Q031] FISICA III CON LABORATORIO,1.8333333333333333
[E1803M046] ECONOMIA AZIENDALE,1.8333333333333333
[E1401A040] CRIMINOLOGIA,1.8333333333333333
[A5810227] DIRITTO COSTITUZIONALE,1.832
[E1401A005] DIRITTO COSTITUZIONALE,1.831578947368421
[E1301Q009] CHIMICA GENERALE,1.8205128205128205
[F7601M011] GEOGRAFIA DEL TURISMO,1.8181818181818181
[E3501Q062] STATISTICA MATEMATICA,1.8181818181818181
[F9201P009] PSICOLOGIA DEI CONSUMI,1.8125
[E1802M005] ISTITUZIONI DI DIRITTO PUBBLICO,1.8125
[E3401Q051] GEOFISICA,1.8085106382978724
[E4101B005] STATISTICA I,1.8070175438596492
[F1701Q097] FISICA DELLO STATO SOLIDO,1.8
[A5810017] DIRITTO PROCESSUALE CIVILE,1.7938144329896908
[E2702Q001] MATEMATICA I,1.7916666666666667
[E4101B023] ECONOMIA INDUSTRIALE,1.7906976744186047
[E2701Q035] CHIMICA ORGANICA,1.7894736842105263
[E0201Q001] MATEMATICA,1.7887323943661972
[E0201Q065] BIOCHIMICA SISTEMATICA UMANA,1.7884615384615385
[E3301M150] DIRITTO INTERNAZIONALE ED EUROPEO DELL'ECONOMIA,1.7857142857142858
[A5810018] PROCEDURA PENALE,1.7837837837837838
[I0101D015] ELEMENTI DI ORGANIZZAZIONE PROFESSIONALE,1.7820512820512822
[F7701M080] BILANCI DELLE SOCIETA' E DEI GRUPPI,1.7790697674418605
[I0102D007] SCIENZE UMANE,1.7777777777777777
[F8203B006] BASI DI DATI,1.7777777777777777
[E1401A078] ISTITUZIONI DI DIRITTO PRIVATO,1.7777777777777777
[A5810019] ISTITUZIONI DI DIRITTO PRIVATO,1.773972602739726
[F0901D029] BIOTECNOLOGIE IN DIAGNOSTICA,1.7692307692307692
[E3401Q039] PRINCIPI DI GEOLOGIA,1.7692307692307692
[A5810130] DIRITTO DELL'UNIONE EUROPEA,1.7681159420289856
[E3201Q076] ECOLOGIA,1.76
[G8501R006] ISTITUZIONI DI MATEMATICHE,1.7529411764705882
[I0303D007] PATOLOGIA,1.75
[I0303D002] SCIENZE BIOMEDICHE,1.75
[F7702M044] INDUSTRIAL ECONOMICS,1.75
[F7502Q006] INTERNATIONAL LAW OF THE SEA AND MARINE ENVIRONMENT PROTECTION,1.75
[F7501Q046] ECOLOGIA DEL PAESAGGIO,1.75
